risk_score,category,domain,content_type,title_guess,url,file_path,document_id,text_length,source,extraction_method,parse_date,dei_keywords,proxy_keywords,binding_keywords,applicability_tags
2,Government/operations (PDF),,,Oregon Housing and Community Services,file://research_results/documents/raw/592594abd4eb6a8bad89ce62855bb42e.pdf,research_results/documents/parsed/592594abd4eb6a8bad89ce62855bb42e.txt,592594abd4eb6a8bad89ce62855bb42e,19177,third_party:batch_parallel,ocrmypdf_force+pdftotext,2025-12-31T03:29:38.824586,equity; inclusion; diversity; racial justice; underserved; minority; dei,,contract; applicability; must; compliance; required,hiring; procurement; housing; community engagement
2,Other third-party,www.charitynavigator.org,text/html; charset=utf-8,Charity Navigator - Rating for Opportunity Agenda Inc. Sign in/Create an account Sign Out Nonprofit Resources Support Charity Navigator Discover Charities Best ,https://www.charitynavigator.org/ein/843935514,research_results/documents/parsed/ee02c83be8b5d732d469696cbae371d2.txt,ee02c83be8b5d732d469696cbae371d2,19110,third_party:www.charitynavigator.org,,,inclusive; marginalized; diversity,,policy; governing; standard,hiring; housing
2,Government/operations,www.hud.gov,text/html; charset=UTF-8,News | HUD.gov / U.S. Department of Housing and Urban Development (HUD) Skip to main content An official website of the United States Government Here’s how you ,https://www.hud.gov/news,research_results/documents/parsed/07191d2e982a998b5c108d04213e94bb.txt,07191d2e982a998b5c108d04213e94bb,18226,third_party:www.hud.gov,,,accessibility; dei,,rule; contract; agreement; must; regulation,hiring; procurement; housing
2,Framework/influence,belonging.berkeley.edu,text/html; charset=UTF-8,"Home | Othering & Belonging Institute Skip to main content Sign up for our new, free courses on Targeted Universalism at OBI University. Start Now Othering & Be",https://belonging.berkeley.edu/,research_results/documents/parsed/e1ab2e335f7e813fd3cfbd5c10ab62b6.txt,e1ab2e335f7e813fd3cfbd5c10ab62b6,17516,third_party:belonging.berkeley.edu,,,equity; diversity; inclusive; equitable; accessibility,,policy,hiring; training; housing; community engagement
2,Infrastructure noise,en.wikipedia.org,text/html; charset=UTF-8,Dublin Core - Wikipedia Jump to content Main menu Main menu move to sidebar hide Navigation Main page Contents Current events Random article About Wikipedia Con,https://en.wikipedia.org/wiki/Dublin_Core,research_results/documents/parsed/244dee6f75bb503ebdcf3d3df5729d4a.txt,244dee6f75bb503ebdcf3d3df5729d4a,17140,third_party:en.wikipedia.org,,,diversity,,rule; policy; standard; required,training
2,Infrastructure noise,www.drupal.org,text/html; charset=utf-8,"Drupal Certified Partners | Drupal.org Skip to main content Skip to search Can we use first and third party cookies and web beacons to understand our audience, ",https://www.drupal.org/drupal-services,research_results/documents/parsed/3624845de3c2316d6c0dbf0f2893e487.txt,3624845de3c2316d6c0dbf0f2893e487,15904,third_party:www.drupal.org,,,accessibility,,shall; policy; contract; standard,hiring; procurement; training; housing
2,Framework/influence,belonging.berkeley.edu,text/html; charset=UTF-8,"Targeted Universalism | Othering & Belonging Institute Skip to main content Sign up for our new, free courses on Targeted Universalism at OBI University. Start ",https://belonging.berkeley.edu/targeted-universalism,research_results/documents/parsed/f220833a1ebb227c820ffdcc641e2779.txt,f220833a1ebb227c820ffdcc641e2779,13772,third_party:belonging.berkeley.edu,,,equity; diversity; marginalized; inclusive; equitable; inclusion; accessibility,,policy; must,procurement; training; housing; community engagement
2,Infrastructure noise,en.wikipedia.org,text/html; charset=UTF-8,"Wikipedia, the free encyclopedia Jump to content Main menu Main menu move to sidebar hide Navigation Main page Contents Current events Random article About Wiki",https://en.wikipedia.org/wiki/Main_Page,research_results/documents/parsed/ac8b3b54df4124a34387d7e8da8f3838.txt,ac8b3b54df4124a34387d7e8da8f3838,12337,third_party:en.wikipedia.org,,,dei,,policy; standard,training; housing; community engagement
2,Other third-party,relatednorthwest.com,text/html; charset=UTF-8,Related Northwest | Related California Skip to main Related California Related Northwest Luxury Rentals Related Corporate Related Beal Related Midwest Related A,https://www.relatedcalifornia.com/our-company/related-northwest,research_results/documents/parsed/8444b9d83856f5d89ff54709a5e8a7f1.txt,8444b9d83856f5d89ff54709a5e8a7f1,11668,third_party:relatednorthwest.com,,,equitable,,policy,hiring; procurement; training; housing
2,Other third-party,www.osba.org,text/html; charset=UTF-8,"Welcome | Oregon School Boards Association The Oregon School Boards Association empowers all public-school boards with the knowledge, skills, tools, and resourc",https://www.osba.org/,research_results/documents/parsed/07815e32e695fa0202bb1b593746c401.txt,07815e32e695fa0202bb1b593746c401,10560,third_party:www.osba.org,,,equity,,policy; required,hiring; procurement; training; housing; community engagement
