candidate_type,candidate,domain,score,mentions,source_count,sample_sources
org_name,IM Global Summit Resources Resource Center Job Center,,74,20,20,research_results/documents/parsed/299048dd9e792f786bd209f6a853333c.txt | research_results/documents/parsed/46b383e71dafa3dc6638d1628246acfe.txt | research_results/documents/parsed/771c7d7a5f6fdc434ec6ec3c289c329d.txt | research_results/documents/parsed/7a303e3155bc803621b77ec1cbf20929.txt | research_results/documents/parsed/937374b235c61ee1f6081afde70f0ce0.txt
domain,github.blog,github.blog,73,19,9,research_results/third_party_downloads/github.com/github.com.html | research_results/third_party_downloads/github.com/github.com_about-us.html | research_results/third_party_downloads/github.com/github.com_about.html | research_results/third_party_downloads/github.com/github.com_d7b3438d97.html | research_results/third_party_downloads/github.com/github.com_facebook_open-graph-protocol.html
domain,www.prrac.org,www.prrac.org,73,8,8,research_results/third_party_downloads/belonging.berkeley.edu/belonging.berkeley.edu_targeted-universalism.html | research_results/third_party_downloads/obiu.org/obiu.org.html | research_results/third_party_downloads/obiu.org/obiu.org_4ba94aeb9f.html | research_results/third_party_downloads/obiu.org/obiu.org_9fdd6f809a.html | research_results/third_party_downloads/obiu.org/obiu.org_course_stages-of-targeted-univeralism-part2.html
org_name,Field GARE Online Community GARE Learning Center,,73,26,26,research_results/documents/parsed/0907648c5876f269eb95f4122bbe6150.txt | research_results/documents/parsed/0e1e03d72717fb6325339c86021d7ea8.txt | research_results/documents/parsed/11925ba57cc06a39fad9a6dc5a8cc1f0.txt | research_results/documents/parsed/181bd6ec8cfef085a9c88f92bf6a1ca5.txt | research_results/documents/parsed/1bb15fecc239f35d9ee2fc03e86de86b.txt
org_name,Equity Quick Links GARE Learning Center,,73,26,26,research_results/documents/parsed/0907648c5876f269eb95f4122bbe6150.txt | research_results/documents/parsed/0e1e03d72717fb6325339c86021d7ea8.txt | research_results/documents/parsed/11925ba57cc06a39fad9a6dc5a8cc1f0.txt | research_results/documents/parsed/181bd6ec8cfef085a9c88f92bf6a1ca5.txt | research_results/documents/parsed/1bb15fecc239f35d9ee2fc03e86de86b.txt
domain,www.osba.org,www.osba.org,72,295,8,research_results/documents/parsed/2cb743c45485324adc632bb0642bc614.txt | research_results/documents/parsed/39aacc6287ece4d98183827562496c5e.txt | research_results/documents/parsed/592c84071aa2e1e2c199fe14a36d610c.txt | research_results/documents/parsed/b38e3d183f71c799cdc5c8440266707e.txt | research_results/documents/parsed/bbe7acb45f264f9ce93960d30c429eec.txt
domain,developer.wordpress.org,developer.wordpress.org,72,167,9,research_results/third_party_downloads/api.w.org/developer.wordpress.org_rest-api.html | research_results/third_party_downloads/api.w.org/developer.wordpress.org_rest-api_55e12db766.html | research_results/third_party_downloads/s.w.org/wordpress.org.html | research_results/third_party_downloads/s.w.org/wordpress.org_072314d454.html | research_results/third_party_downloads/wordpress.org/wordpress.org.html
domain,candid.org,candid.org,70,32,3,research_results/third_party_downloads/www.guidestar.org/www.guidestar.org.html | research_results/third_party_downloads/www.guidestar.org/www.guidestar.org_33a08789e6.html | research_results/third_party_downloads/www.guidestar.org/www.guidestar.org_profile_shared_89796459-f7f6-4286-b0df-2352a87aef3f.html
domain,www.bonfire.com,www.bonfire.com,70,12,12,research_results/third_party_downloads/info.aiim.org/info.aiim.org_aiim-blog.html | research_results/third_party_downloads/info.aiim.org/info.aiim.org_aiim-demo-day-idp-and-automation-excellence-2026.html | research_results/third_party_downloads/info.aiim.org/info.aiim.org_demystifying-document-management-content-management-information-management-and-content-services.html | research_results/third_party_downloads/info.aiim.org/info.aiim.org_ebook-enterprise-ai-and-analytics-2025.html | research_results/third_party_downloads/info.aiim.org/info.aiim.org_state-of-the-intelligent-information-management-industry-2025.html
domain,www.slideshare.net,www.slideshare.net,70,12,12,research_results/third_party_downloads/info.aiim.org/info.aiim.org_aiim-blog.html | research_results/third_party_downloads/info.aiim.org/info.aiim.org_aiim-demo-day-idp-and-automation-excellence-2026.html | research_results/third_party_downloads/info.aiim.org/info.aiim.org_demystifying-document-management-content-management-information-management-and-content-services.html | research_results/third_party_downloads/info.aiim.org/info.aiim.org_ebook-enterprise-ai-and-analytics-2025.html | research_results/third_party_downloads/info.aiim.org/info.aiim.org_state-of-the-intelligent-information-management-industry-2025.html
org_name,"GitHub, Inc",,70,16,16,research_results/documents/parsed/008ec4453ff31513f43893cba7aa31c8.txt | research_results/documents/parsed/0626db2d35dc593351e86353787f097c.txt | research_results/documents/parsed/2222a6aff44ac46ed8a3fa6f01a1c641.txt | research_results/documents/parsed/48fe88b3a030743ae5a065b7299e9ecf.txt | research_results/documents/parsed/5148e0039f816c8b620f360dfaa24d24.txt
domain,docs.candid.org,docs.candid.org,69,17,1,research_results/third_party_downloads/www.guidestar.org/www.guidestar.org_profile_shared_89796459-f7f6-4286-b0df-2352a87aef3f.html
org_name,Community Services,,69,26,26,research_results/documents/parsed/0033be02ec78316625017000c92e110e.txt | research_results/documents/parsed/2cb743c45485324adc632bb0642bc614.txt | research_results/documents/parsed/301c581abbfcce15c8336a36b2946da3.txt | research_results/documents/parsed/3624845de3c2316d6c0dbf0f2893e487.txt | research_results/documents/parsed/592594abd4eb6a8bad89ce62855bb42e.txt
