document_id,file_path,risk_score,dei_keywords,proxy_keywords,binding_keywords,applicability_tags,text_length
60ff12d7e79e6a9763b86f62b24ac6f4,research_results/documents/parsed/60ff12d7e79e6a9763b86f62b24ac6f4.txt,2,deib; inclusion; dei; equity; underrepresented; diversity,,contract; standard; required; must; statewide,hiring; procurement; training; housing,82412
9613353fa3a8e6ccd6e9a982d4da3ddc,research_results/documents/parsed/9613353fa3a8e6ccd6e9a982d4da3ddc.txt,2,equity,,policy,,913
d1dfa8ffa6c838ec2140e5832a73076b,research_results/documents/parsed/d1dfa8ffa6c838ec2140e5832a73076b.txt,2,equity,,policy,housing,2708
008ec4453ff31513f43893cba7aa31c8,research_results/documents/parsed/008ec4453ff31513f43893cba7aa31c8.txt,2,inclusion,,standard; required,training,8254
097f2f6b250b065a6a9eb2d97f44d074,research_results/documents/parsed/097f2f6b250b065a6a9eb2d97f44d074.txt,2,inclusion,,standard; required; must; shall; policy; agreement,procurement,54745
f220833a1ebb227c820ffdcc641e2779,research_results/documents/parsed/f220833a1ebb227c820ffdcc641e2779.txt,2,diversity; inclusion; equity,,policy; must,procurement; training; housing,13772
3ab0972aa46f257cd03b2af722485308,research_results/documents/parsed/3ab0972aa46f257cd03b2af722485308.txt,1,underserved,,,procurement; training; housing,4110
9992a1019c1a850d63d4e6c5f0ef450b,research_results/documents/parsed/9992a1019c1a850d63d4e6c5f0ef450b.txt,1,diversity; dei; inclusion; equity,,,training,8230
95c63fdf066dde780c9aa043c6292579,research_results/documents/parsed/95c63fdf066dde780c9aa043c6292579.txt,0,,,policy,,172
70cd1c5a92bcf53af2ccfbe1bb03108d,research_results/documents/parsed/70cd1c5a92bcf53af2ccfbe1bb03108d.txt,0,,,policy; standard; required,hiring; housing,22250
c71d3f7b11a21d518fec899ab0e40020,research_results/documents/parsed/c71d3f7b11a21d518fec899ab0e40020.txt,0,,,,,13189
41cd297c4c4771fffe814705e9bd37fd,research_results/documents/parsed/41cd297c4c4771fffe814705e9bd37fd.txt,0,,,,,1083
d669a83397f9f0a04c2b8a8a2274b20d,research_results/documents/parsed/d669a83397f9f0a04c2b8a8a2274b20d.txt,0,,,policy; required,hiring,9938
9e8d6e724a2858f034bb8ece33ac6da2,research_results/documents/parsed/9e8d6e724a2858f034bb8ece33ac6da2.txt,0,,,,,30447
8610c4dc77892503bd744a25c11b07d1,research_results/documents/parsed/8610c4dc77892503bd744a25c11b07d1.txt,0,,,,,990
a8e9b1c172c480ab56bd7001e3a0291a,research_results/documents/parsed/a8e9b1c172c480ab56bd7001e3a0291a.txt,0,,,contract; shall; must; standard,procurement; housing,7536
7ab1c698e9aca12f84f98488520ed0a0,research_results/documents/parsed/7ab1c698e9aca12f84f98488520ed0a0.txt,0,,,standard; required; must,hiring; housing,505468
2b53c5b30b5d4639a8519f7ac61f183d,research_results/documents/parsed/2b53c5b30b5d4639a8519f7ac61f183d.txt,0,,,,housing,170
a7b3e33d6c1cfac43e5d548113f4fbfa,research_results/documents/parsed/a7b3e33d6c1cfac43e5d548113f4fbfa.txt,0,,,,housing,170
d9e5ecf138db41fdef26558aa6280d17,research_results/documents/parsed/d9e5ecf138db41fdef26558aa6280d17.txt,0,,,standard; required; must,hiring,234851
9821e343b0dd45bd7592869a81398b03,research_results/documents/parsed/9821e343b0dd45bd7592869a81398b03.txt,0,,,required,hiring,5313
0150e4fecaecd60497625c1c8420694b,research_results/documents/parsed/0150e4fecaecd60497625c1c8420694b.txt,0,,,policy; standard; required; must,hiring; procurement; training,53561
313386829217558dbd9653c43ea9faa9,research_results/documents/parsed/313386829217558dbd9653c43ea9faa9.txt,0,,,,,630
030ff6c85bb04d7c6e9e6e041b5127b8,research_results/documents/parsed/030ff6c85bb04d7c6e9e6e041b5127b8.txt,0,,,,training,850
589e61abc9e5b7f4f2db0a26b0c094fc,research_results/documents/parsed/589e61abc9e5b7f4f2db0a26b0c094fc.txt,0,,,standard,training,6554
457312611cef31a2cfe6e349011f468e,research_results/documents/parsed/457312611cef31a2cfe6e349011f468e.txt,0,,,,,860
24317d7e02e5e73e45cc19e5b4bc8182,research_results/documents/parsed/24317d7e02e5e73e45cc19e5b4bc8182.txt,0,,,,,1089
26d474e25502f88475b11d1da6ee9a6e,research_results/documents/parsed/26d474e25502f88475b11d1da6ee9a6e.txt,0,,,,,9655
b96f93f6490b6801cde10a716c8c1b71,research_results/documents/parsed/b96f93f6490b6801cde10a716c8c1b71.txt,0,,,,housing,777
